Date,Total_Revenue,Total_Freight,Order_Count,Avg_Delivery_Days,Is_Weekend,Macro Category
28/02/2017 00:00,5448.93,602.04,23,18.85714286,Weekday,Home & Living
27/02/2017 00:00,2315.23,518.52,20,15.73684211,Weekday,Home & Living
24/02/2017 00:00,1887.82,483.38,23,15.33333333,Weekday,Home & Living
23/02/2017 00:00,3524.5,948.55,27,13.46153846,Weekday,Home & Living
22/02/2017 00:00,4040.06,623.67,28,12.34782609,Weekday,Home & Living
21/02/2017 00:00,1810.46,404.19,16,24.06666667,Weekday,Home & Living
20/02/2017 00:00,3792.81,548.31,23,19.52380952,Weekday,Home & Living
17/02/2017 00:00,5222.38,866.42,23,18.17391304,Weekday,Home & Living
16/02/2017 00:00,2449.38,461.7,21,11.38095238,Weekday,Home & Living
15/02/2017 00:00,3920.46,642.98,32,12.12903226,Weekday,Home & Living
14/02/2017 00:00,6638.53,850.12,28,15,Weekday,Home & Living
13/02/2017 00:00,5201.4,1062.41,36,13.62857143,Weekday,Home & Living
10/02/2017 00:00,4711.12,743.89,30,13.92857143,Weekday,Home & Living
09/02/2017 00:00,5784.67,1028.27,36,16.75,Weekday,Home & Living
08/02/2017 00:00,5276.35,1015.92,36,15.08823529,Weekday,Home & Living
07/02/2017 00:00,5152.44,1006.58,36,11.79411765,Weekday,Home & Living
06/02/2017 00:00,2909.79,591.07,30,11.86666667,Weekday,Home & Living
03/02/2017 00:00,2451.77,462.09,18,11.625,Weekday,Home & Living
02/02/2017 00:00,1998.77,569.46,20,11.57894737,Weekday,Home & Living
01/02/2017 00:00,2172.91,451.52,20,13.85,Weekday,Home & Living
31/01/2017 00:00,3405.47,833.14,29,14.33333333,Weekday,Home & Living
30/01/2017 00:00,4526.66,473,23,11.90909091,Weekday,Home & Living
27/01/2017 00:00,2402.46,414.54,17,12.8125,Weekday,Home & Living
26/01/2017 00:00,3470.67,743.09,29,13.25,Weekday,Home & Living
25/01/2017 00:00,2661.27,380.03,18,14.625,Weekday,Home & Living
24/01/2017 00:00,1786.53,339.23,15,11.64285714,Weekday,Home & Living
23/01/2017 00:00,3121.6,465.98,18,17.1875,Weekday,Home & Living
20/01/2017 00:00,1319.87,219.42,14,11.35714286,Weekday,Home & Living
19/01/2017 00:00,2169.88,343.84,18,10.27777778,Weekday,Home & Living
18/01/2017 00:00,1153.43,205.34,10,12.6,Weekday,Home & Living
17/01/2017 00:00,952,177.48,11,11.45454545,Weekday,Home & Living
16/01/2017 00:00,1415.89,140.13,5,9.8,Weekday,Home & Living
13/01/2017 00:00,1868.69,186.4,7,9.285714286,Weekday,Home & Living
12/01/2017 00:00,971.4,122.73,6,14.33333333,Weekday,Home & Living
11/01/2017 00:00,1255.49,152.4,5,7.2,Weekday,Home & Living
10/01/2017 00:00,559.7,100.31,4,12.5,Weekday,Home & Living
09/01/2017 00:00,77,31.12,1,46,Weekday,Home & Living
05/01/2017 00:00,160,119.92,11,10.81818182,Weekday,Home & Living
29/08/2018 00:00,353.79,25.16,3,1,Weekday,Tech & Gadgets
28/08/2018 00:00,421.27,63.8,8,2,Weekday,Tech & Gadgets
27/08/2018 00:00,249.86,50.76,6,2.333333333,Weekday,Tech & Gadgets
24/08/2018 00:00,2146.47,316.95,23,4.956521739,Weekday,Tech & Gadgets
23/08/2018 00:00,2174.03,433.3,27,5.296296296,Weekday,Tech & Gadgets
22/08/2018 00:00,4713.26,527.66,32,5.90625,Weekday,Tech & Gadgets
21/08/2018 00:00,5250.65,662.08,39,6.631578947,Weekday,Tech & Gadgets
20/08/2018 00:00,5947.16,786.97,32,6.09375,Weekday,Tech & Gadgets
17/08/2018 00:00,3880.12,719.98,41,8.35,Weekday,Tech & Gadgets
16/08/2018 00:00,8461.52,1286.41,71,7.957746479,Weekday,Tech & Gadgets
15/08/2018 00:00,8562.08,1059.71,53,9.403846154,Weekday,Tech & Gadgets
14/08/2018 00:00,9221.32,1100.48,61,8.278688525,Weekday,Tech & Gadgets
13/08/2018 00:00,7946.3,986.51,48,7.85106383,Weekday,Tech & Gadgets
10/08/2018 00:00,7643.26,1127.04,55,8.944444444,Weekday,Tech & Gadgets
09/08/2018 00:00,8587.96,1172.74,55,8.87037037,Weekday,Tech & Gadgets
08/08/2018 00:00,11193.2,1430.76,55,8.727272727,Weekday,Tech & Gadgets
07/08/2018 00:00,10643.88,1586.71,68,8.439393939,Weekday,Tech & Gadgets
06/08/2018 00:00,12858.84,1756.57,83,8.825,Weekday,Tech & Gadgets
03/08/2018 00:00,7728.66,1538.89,64,10.90322581,Weekday,Tech & Gadgets
02/08/2018 00:00,8391.45,1422,70,10.13235294,Weekday,Tech & Gadgets
01/08/2018 00:00,11891.43,1379.32,71,9.887323944,Weekday,Tech & Gadgets
